time,bond_closing_yields_1year,bond_closing_yields_2year,bond_closing_yields_5year,bond_closing_yields_10year,Swap_rates_1year,Swap_rates_2year,Swap_rates_3year,Swap_rates_4year,Swap_rates_5year,Swap_rates_7year,Swap_rates_10year,Swap_rates_15year,Swap_rates_2-10year
Aug 2010,3.58,4.02,4.49,5.23,3.54,3.84,4.04,4.20,4.35,4.63,4.93,5.14,111
Sep 2010,3.64,4.06,4.55,5.28,3.48,3.79,4.02,4.21,4.40,4.68,4.97,5.17,118
Oct 2010,3.50,3.89,4.37,5.08,3.43,3.76,3.99,4.17,4.34,4.64,4.94,5.15,118
Nov 2010,3.58,4.19,4.73,5.50,3.51,3.95,4.26,4.48,4.67,4.99,5.31,5.53,136
Dec 2010,3.40,4.07,4.78,5.82,3.40,3.83,4.21,4.50,4.75,5.13,5.53,5.75,170
Jan 2011,3.33,3.89,4.60,5.60,3.41,3.84,4.18,4.43,4.66,5.02,5.42,5.62,157
Feb 2011,3.19,3.82,4.49,5.57,3.28,3.73,4.09,4.37,4.61,4.99,5.37,5.57,165
Mar 2011,2.63,3.46,4.32,5.58,2.77,3.29,3.74,4.08,4.36,4.79,5.19,5.37,191
Apr 2011,2.60,3.47,4.47,5.70,2.80,3.36,3.88,4.27,4.58,5.01,5.41,5.56,205
May 2011,2.60,3.22,4.14,5.22,2.83,3.34,3.81,4.16,4.44,4.84,5.21,5.39,187
Jun 2011,2.59,3.20,3.99,5.04,2.87,3.35,3.77,4.09,4.35,4.75,5.10,5.29,175
Jul 2011,2.62,3.29,4.03,5.06,3.05,3.50,3.89,4.20,4.46,4.86,5.22,5.42,172
Aug 2011,2.67,3.06,3.64,4.56,3.10,3.39,3.68,3.96,4.21,4.58,4.91,5.11,152
Sep 2011,2.55,2.95,3.44,4.40,3.01,3.22,3.44,3.67,3.89,4.26,4.55,4.77,134
Oct 2011,,2.84,4.04,4.53,2.92,3.12,3.37,3.64,3.89,4.29,4.63,4.87,151
Nov 2011,,2.57,3.65,4.12,2.71,2.87,3.11,3.37,3.62,4.03,4.39,4.62,152
Dec 2011,,2.46,3.39,3.90,2.65,2.74,2.92,3.13,3.35,3.77,4.14,4.38,139
Jan 2012,,2.48,3.36,3.86,2.71,2.82,2.99,3.20,3.42,3.82,4.17,4.43,136
Feb 2012,2.63,2.71,3.50,3.98,2.78,2.94,3.14,3.37,3.59,3.99,4.33,4.56,139
Mar 2012,2.65,3.11,3.71,4.17,2.83,3.07,3.32,3.56,3.79,4.17,4.50,4.74,143
Apr 2012,2.60,2.93,3.52,3.97,2.75,2.91,3.13,3.37,3.59,3.97,4.30,4.54,139
May 2012,2.33,2.41,2.97,3.64,2.43,2.51,2.68,2.90,3.12,3.51,3.86,4.10,135
Jun 2012,2.37,2.37,2.83,3.40,2.54,2.63,2.78,2.96,3.13,3.45,3.74,3.97,111
Jul 2012,2.43,2.46,2.86,3.39,2.59,2.69,2.82,2.97,3.12,3.42,3.70,3.93,101
Aug 2012,2.51,2.62,3.04,3.65,2.63,2.75,2.90,3.06,3.23,3.54,3.85,4.08,110
Sep 2012,2.53,2.55,2.94,3.57,2.57,2.69,2.84,2.99,3.14,3.46,3.78,3.99,108
Oct 2012,2.50,2.48,2.85,3.50,2.53,2.61,2.74,2.88,3.03,3.34,3.65,3.83,105
Nov 2012,2.48,2.47,2.83,3.47,2.54,2.63,2.76,2.90,3.05,3.37,3.70,3.86,107
Dec 2012,,2.54,2.91,3.55,2.60,2.70,2.82,2.97,3.12,3.44,3.77,3.93,107
Jan 2013,,2.53,2.90,3.55,2.68,2.81,2.95,3.10,3.25,3.57,3.90,4.08,109
Feb 2013,,2.71,3.14,3.81,2.77,2.96,3.15,3.32,3.48,3.78,4.09,4.28,113
Mar 2013,,2.57,3.05,3.72,2.73,2.93,3.13,3.32,3.49,3.79,4.10,4.31,117
Apr 2013,,2.46,2.75,3.32,2.70,2.86,3.03,3.18,3.33,3.61,3.90,4.11,104
May 2013,,2.50,2.80,3.38,2.70,2.87,3.05,3.22,3.37,3.64,3.93,4.14,106
Jun 2013,,2.73,3.17,3.85,2.78,3.07,3.32,3.53,3.71,3.99,4.29,4.51,122
Jul 2013,,2.84,3.49,4.23,2.84,3.25,3.57,3.82,4.03,4.32,4.59,4.83,134
Aug 2013,,2.99,4.00,4.47,2.91,3.42,3.80,4.07,4.29,4.59,4.86,5.10,144
Sep 2013,,3.03,4.22,4.69,2.94,3.48,3.91,4.22,4.46,4.77,5.03,5.29,155
Oct 2013,3.05,3.07,4.22,4.65,2.97,3.49,3.89,4.17,4.40,4.71,4.95,5.19,147
Nov 2013,3.09,,4.22,4.71,3.06,3.56,3.94,4.22,4.45,4.78,5.04,5.27,148
Dec 2013,3.19,,4.26,4.75,3.28,3.77,4.13,4.40,4.63,4.96,5.22,5.45,144
Jan 2014,3.24,,4.16,4.64,3.41,3.82,4.14,4.39,4.60,4.90,5.14,5.36,132
Feb 2014,3.22,,4.06,4.57,3.44,3.83,4.13,4.35,4.54,4.83,5.07,5.30,123
Mar 2014,3.27,,4.12,4.58,3.54,3.97,4.24,4.43,4.58,4.82,5.04,5.27,107
Apr 2014,3.40,,4.23,4.55,3.64,4.05,4.31,4.48,4.61,4.81,5.00,5.21,95
May 2014,3.40,,4.00,4.30,3.65,3.96,4.17,4.31,4.42,4.60,4.79,5.03,83
Jun 2014,3.51,,4.08,4.42,3.82,4.11,4.29,4.42,4.52,4.69,4.87,5.08,76
Jul 2014,3.59,,4.09,4.36,3.91,4.16,4.34,4.47,4.57,4.71,4.84,5.03,68
Aug 2014,3.57,,3.98,4.20,3.86,4.06,4.21,4.32,4.41,4.54,4.66,4.83,60
Sep 2014,3.56,,4.01,4.19,3.84,4.06,4.21,4.32,4.41,4.53,4.64,4.79,58
