time,bond_closing_yields_1year,bond_closing_yields_2year,bond_closing_yields_5year,bond_closing_yields_10year,Swap_rates_1year,Swap_rates_2year,Swap_rates_3year,Swap_rates_4year,Swap_rates_5year,Swap_rates_7year,Swap_rates_10year,Swap_rates_15year,Swap_rates_2.10year
10-Aug,3.58,4.02,4.49,5.23,3.54,3.84,4.04,4.2,4.35,4.63,4.93,5.14,111
10-Sep,3.64,4.06,4.55,5.28,3.48,3.79,4.02,4.21,4.4,4.68,4.97,5.17,118
10-Oct,3.5,3.89,4.37,5.08,3.43,3.76,3.99,4.17,4.34,4.64,4.94,5.15,118
10-Nov,3.58,4.19,4.73,5.5,3.51,3.95,4.26,4.48,4.67,4.99,5.31,5.53,136
10-Dec,3.4,4.07,4.78,5.82,3.4,3.83,4.21,4.5,4.75,5.13,5.53,5.75,170
11-Jan,3.33,3.89,4.6,5.6,3.41,3.84,4.18,4.43,4.66,5.02,5.42,5.62,157
11-Feb,3.19,3.82,4.49,5.57,3.28,3.73,4.09,4.37,4.61,4.99,5.37,5.57,165
11-Mar,2.63,3.46,4.32,5.58,2.77,3.29,3.74,4.08,4.36,4.79,5.19,5.37,191
11-Apr,2.6,3.47,4.47,5.7,2.8,3.36,3.88,4.27,4.58,5.01,5.41,5.56,205
11-May,2.6,3.22,4.14,5.22,2.83,3.34,3.81,4.16,4.44,4.84,5.21,5.39,187
11-Jun,2.59,3.2,3.99,5.04,2.87,3.35,3.77,4.09,4.35,4.75,5.1,5.29,175
11-Jul,2.62,3.29,4.03,5.06,3.05,3.5,3.89,4.2,4.46,4.86,5.22,5.42,172
11-Aug,2.67,3.06,3.64,4.56,3.1,3.39,3.68,3.96,4.21,4.58,4.91,5.11,152
11-Sep,2.55,2.95,3.44,4.4,3.01,3.22,3.44,3.67,3.89,4.26,4.55,4.77,134
11-Oct,2.669156667,2.84,4.04,4.53,2.92,3.12,3.37,3.64,3.89,4.29,4.63,4.87,151
11-Nov,2.61215,2.57,3.65,4.12,2.71,2.87,3.11,3.37,3.62,4.03,4.39,4.62,152
11-Dec,2.486573333,2.46,3.39,3.9,2.65,2.74,2.92,3.13,3.35,3.77,4.14,4.38,139
12-Jan,2.61215,2.48,3.36,3.86,2.71,2.82,2.99,3.2,3.42,3.82,4.17,4.43,136
12-Feb,2.63,2.71,3.5,3.98,2.78,2.94,3.14,3.37,3.59,3.99,4.33,4.56,139
12-Mar,2.65,3.11,3.71,4.17,2.83,3.07,3.32,3.56,3.79,4.17,4.5,4.74,143
12-Apr,2.6,2.93,3.52,3.97,2.75,2.91,3.13,3.37,3.59,3.97,4.3,4.54,139
12-May,2.33,2.41,2.97,3.64,2.43,2.51,2.68,2.9,3.12,3.51,3.86,4.1,135
12-Jun,2.37,2.37,2.83,3.4,2.54,2.63,2.78,2.96,3.13,3.45,3.74,3.97,111
12-Jul,2.43,2.46,2.86,3.39,2.59,2.69,2.82,2.97,3.12,3.42,3.7,3.93,101
12-Aug,2.51,2.62,3.04,3.65,2.63,2.75,2.9,3.06,3.23,3.54,3.85,4.08,110
12-Sep,2.53,2.55,2.94,3.57,2.57,2.69,2.84,2.99,3.14,3.46,3.78,3.99,108
12-Oct,2.5,2.48,2.85,3.5,2.53,2.61,2.74,2.88,3.03,3.34,3.65,3.83,105
12-Nov,2.48,2.47,2.83,3.47,2.54,2.63,2.76,2.9,3.05,3.37,3.7,3.86,107
12-Dec,2.47998,2.54,2.91,3.55,2.6,2.7,2.82,2.97,3.12,3.44,3.77,3.93,107
13-Jan,2.530821667,2.53,2.9,3.55,2.68,2.81,2.95,3.1,3.25,3.57,3.9,4.08,109
