time,bond_closing_yields_1year,interbank
Jul-03,4.85,5.03761
Aug-03,4.99,5.27625
Sep-03,5.08,5.41773
Oct-03,5.37,5.54522
Nov-03,5.59,5.85525
Dec-03,5.49,5.84488
Jan-04,5.37,5.73952
Feb-04,5.5,5.826
Mar-04,5.38,5.68609
Apr-04,5.43,5.78488
May-04,5.75,6.13868
Jun-04,5.93,6.33898
Jul-04,6.09,6.45045
Aug-04,6.22,6.59548
Sep-04,6.34,6.74489
Oct-04,6.24,6.8019
Nov-04,6.22,6.69534
Dec-04,6.28,6.65881
Jan-05,6.38,6.77088
Feb-05,6.33,6.89313
Mar-05,6.45,7.08643
Apr-05,6.47,7.08119
May-05,6.42,7.06619
Jun-05,6.32,7.03034
Jul-05,6.39,7.00095
Aug-05,6.46,7.00614
Sep-05,6.49,7.09693
Oct-05,6.61,7.39583
Nov-05,6.82,7.63602
Dec-05,6.82,7.63211
Jan-06,6.46,7.50595
Feb-06,6.39,7.40513
Mar-06,6.82,7.30478
Apr-06,6.82,7.30722
May-06,6.81,7.43607
Jun-06,6.89,7.49693
Jul-06,7,7.56821
Aug-06,7.01,7.62739
Sep-06,7.08,7.69512
Oct-06,7.24,7.78273
Nov-06,6.77,7.73511
Dec-06,6.5,7.84263
Jan-07,6.57,7.93398
Feb-07,6.79,8.01713
Mar-07,6.99,8.0808
Apr-07,7.24,8.21987
May-07,7.32,8.30833
Jun-07,7.49,8.52321
Jul-07,7.81,8.62727
Aug-07,7.76,8.85398
Sep-07,7.03,8.89763
Oct-07,7.07,8.97141
Nov-07,7.35,9.08733
Dec-07,7.52,9.22934
Jan-08,7.52,9.10886
Feb-08,7.32,9.22583
Mar-08,7.08,9.20184
Apr-08,6.89,9.13295
May-08,6.89,8.824
Jun-08,7.03,8.85869
Jul-08,6.9,8.53315
Aug-08,6.88,8.17625
Sep-08,6.43,8.16409
Oct-08,5.61,8.36416
Nov-08,5.26,6.76775
Dec-08,4.52,5.86536
Jan-09,3.55,4.975
Feb-09,3.12,4.04229
Mar-09,3.12,4.03352
Apr-09,2.99,3.95563
May-09,,3.76711
Jun-09,,3.65898
Jul-09,,3.75283
Aug-09,,3.697
Sep-09,,3.71216
Oct-09,,4.1558
Nov-09,,4.25881
Dec-09,,4.19833
Jan-10,,4.25013
Feb-10,,4.00088
Mar-10,,3.88554
Apr-10,,4
May-10,,4.17974
Jun-10,,4.39455
Jul-10,,4.55534
Aug-10,3.59,4.44298
Sep-10,3.64,4.17932
Oct-10,3.5,4.10345
Nov-10,3.58,4.13534
Dec-10,3.41,4.0344
Jan-11,3.33,3.99938
Feb-11,3.2,3.94363
Mar-11,2.64,3.39924
Apr-11,2.6,3.35569
May-11,2.59,3.41725
Jun-11,2.59,3.41648
Jul-11,2.62,3.43583
Aug-11,2.67,3.48727
Sep-11,2.55,3.51636
Oct-11,2.48,3.53762
Nov-11,,3.51205
Dec-11,,3.5024
Jan-12,,3.51438
Feb-12,2.63,3.53333
Mar-12,2.65,3.55445
Apr-12,2.6,3.55253
May-12,2.33,3.51709
Jun-12,2.37,3.46074
Jul-12,2.43,3.45564
Aug-12,2.51,3.47436
Sep-12,2.53,3.4772
Oct-12,2.5,3.43591
Nov-12,2.48,3.37918
Dec-12,,3.34179
Jan-13,,3.33618
Feb-13,,3.3345
