FREQ,M
Frequency,Monthly
REF_AREA,NZ
Reference area,New Zealand
CURRENCY,NZD
Currency,New Zealand dollar
COLLECTION,E
Collection,End of period
UNIT_MULT,0
Unit Multiplier,Units
DECIMALS,6
Decimals,Six
AVAILABILITY,A
Availability,All users
TITLE, Exchange rates against USD New Zealand - New Zealand dollar - Monthly - End of period
Series,M:NZ:NZD:E
1791,
1791-01,
1791-02,
1791-03,
1791-04,
1791-05,
1791-06,
1791-07,
1791-08,
1791-09,
1791-10,
1791-11,
1791-12,
1791-Q1,
1791-Q2,
1791-Q3,
1791-Q4,
1792,
1792-01,
1792-02,
1792-03,
1792-04,
1792-05,
1792-06,
1792-07,
1792-08,
1792-09,
1792-10,
1792-11,
1792-12,
1792-Q1,
1792-Q2,
1792-Q3,
1792-Q4,
1793,
1793-01,
1793-02,
1793-03,
1793-04,
1793-05,
1793-06,
1793-07,
1793-08,
1793-09,
1793-10,
1793-11,
1793-12,
1793-Q1,
1793-Q2,
1793-Q3,
1793-Q4,
1794,
1794-01,
1794-02,
1794-03,
1794-04,
1794-05,
1794-06,
1794-07,
1794-08,
1794-09,
1794-10,
1794-11,
1794-12,
1794-Q1,
1794-Q2,
1794-Q3,
1794-Q4,
1795,
1795-01,
1795-02,
1795-03,
1795-04,
1795-05,
1795-06,
1795-07,
1795-08,
1795-09,
1795-10,
1795-11,
1795-12,
1795-Q1,
1795-Q2,
1795-Q3,
1795-Q4,
1796,
1796-01,
1796-02,
1796-03,
1796-04,
1796-05,
1796-06,
1796-07,
1796-08,
1796-09,
1796-10,
1796-11,
1796-12,
1796-Q1,
1796-Q2,
1796-Q3,
1796-Q4,
1797,
1797-01,
1797-02,
1797-03,
1797-04,
1797-05,
1797-06,
1797-07,
1797-08,
1797-09,
1797-10,
1797-11,
1797-12,
1797-Q1,
1797-Q2,
1797-Q3,
1797-Q4,
1798,
1798-01,
1798-02,
1798-03,
1798-04,
1798-05,
1798-06,
1798-07,
1798-08,
1798-09,
1798-10,
1798-11,
1798-12,
1798-Q1,
1798-Q2,
1798-Q3,
1798-Q4,
1799,
1799-01,
1799-02,
1799-03,
1799-04,
1799-05,
1799-06,
1799-07,
1799-08,
1799-09,
1799-10,
1799-11,
1799-12,
1799-Q1,
1799-Q2,
1799-Q3,
1799-Q4,
1800,
1800-01,
1800-02,
1800-03,
1800-04,
1800-05,
1800-06,
1800-07,
1800-08,
1800-09,
1800-10,
1800-11,
1800-12,
1800-Q1,
1800-Q2,
1800-Q3,
1800-Q4,
1801,
1801-01,
1801-02,
1801-03,
1801-04,
1801-05,
1801-06,
1801-07,
1801-08,
1801-09,
1801-10,
1801-11,
1801-12,
1801-Q1,
1801-Q2,
1801-Q3,
1801-Q4,
1802,
1802-01,
1802-02,
1802-03,
1802-04,
1802-05,
1802-06,
1802-07,
1802-08,
1802-09,
1802-10,
1802-11,
1802-12,
1802-Q1,
1802-Q2,
1802-Q3,
1802-Q4,
1803,
1803-01,
1803-02,
1803-03,
1803-04,
1803-05,
1803-06,
1803-07,
1803-08,
1803-09,
1803-10,
1803-11,
1803-12,
1803-Q1,
1803-Q2,
1803-Q3,
1803-Q4,
1804,
1804-01,
1804-02,
1804-03,
1804-04,
1804-05,
1804-06,
1804-07,
1804-08,
1804-09,
1804-10,
1804-11,
1804-12,
1804-Q1,
1804-Q2,
1804-Q3,
1804-Q4,
1805,
1805-01,
1805-02,
1805-03,
1805-04,
1805-05,
1805-06,
1805-07,
1805-08,
1805-09,
1805-10,
1805-11,
1805-12,
1805-Q1,
1805-Q2,
1805-Q3,
1805-Q4,
1806,
1806-01,
1806-02,
1806-03,
1806-04,
1806-05,
1806-06,
1806-07,
1806-08,
1806-09,
1806-10,
1806-11,
1806-12,
1806-Q1,
1806-Q2,
1806-Q3,
1806-Q4,
1807,
1807-01,
1807-02,
1807-03,
1807-04,
1807-05,
1807-06,
1807-07,
1807-08,
1807-09,
1807-10,
1807-11,
1807-12,
1807-Q1,
1807-Q2,
1807-Q3,
1807-Q4,
1808,
1808-01,
1808-02,
1808-03,
1808-04,
1808-05,
1808-06,
1808-07,
1808-08,
1808-09,
1808-10,
1808-11,
1808-12,
1808-Q1,
1808-Q2,
1808-Q3,
1808-Q4,
1809,
1809-01,
1809-02,
1809-03,
1809-04,
1809-05,
1809-06,
1809-07,
1809-08,
1809-09,
1809-10,
1809-11,
1809-12,
1809-Q1,
1809-Q2,
1809-Q3,
1809-Q4,
1810,
1810-01,
1810-02,
1810-03,
1810-04,
1810-05,
1810-06,
1810-07,
1810-08,
1810-09,
1810-10,
1810-11,
1810-12,
1810-Q1,
1810-Q2,
1810-Q3,
1810-Q4,
1811,
1811-01,
1811-02,
1811-03,
1811-04,
1811-05,
1811-06,
1811-07,
1811-08,
1811-09,
1811-10,
1811-11,
1811-12,
1811-Q1,
1811-Q2,
1811-Q3,
1811-Q4,
1812,
1812-01,
1812-02,
1812-03,
1812-04,
1812-05,
1812-06,
1812-07,
1812-08,
1812-09,
1812-10,
1812-11,
1812-12,
1812-Q1,
1812-Q2,
1812-Q3,
1812-Q4,
1813,
1813-01,
1813-02,
1813-03,
1813-04,
1813-05,
1813-06,
1813-07,
1813-08,
1813-09,
1813-10,
1813-11,
1813-12,
1813-Q1,
1813-Q2,
1813-Q3,
1813-Q4,
1814,
1814-01,
1814-02,
1814-03,
1814-04,
1814-05,
1814-06,
1814-07,
1814-08,
1814-09,
1814-10,
1814-11,
1814-12,
1814-Q1,
1814-Q2,
1814-Q3,
1814-Q4,
1815,
1815-01,
1815-02,
1815-03,
1815-04,
1815-05,
1815-06,
1815-07,
1815-08,
1815-09,
1815-10,
1815-11,
1815-12,
1815-Q1,
1815-Q2,
1815-Q3,
1815-Q4,
1816,
1816-01,
1816-02,
1816-03,
1816-04,
1816-05,
1816-06,
1816-07,
1816-08,
1816-09,
1816-10,
1816-11,
1816-12,
1816-Q1,
1816-Q2,
1816-Q3,
1816-Q4,
1817,
1817-01,
1817-02,
1817-03,
1817-04,
1817-05,
1817-06,
1817-07,
1817-08,
1817-09,
1817-10,
1817-11,
1817-12,
1817-Q1,
1817-Q2,
1817-Q3,
1817-Q4,
1818,
1818-01,
1818-02,
1818-03,
1818-04,
1818-05,
1818-06,
1818-07,
1818-08,
1818-09,
1818-10,
1818-11,
1818-12,
1818-Q1,
1818-Q2,
1818-Q3,
1818-Q4,
1819,
1819-01,
1819-02,
1819-03,
1819-04,
1819-05,
1819-06,
1819-07,
1819-08,
1819-09,
1819-10,
