Date,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30
2023-08-31,5.1977,4.7497,4.4388,4.2311,4.1001,4.0255,3.9917,3.9867,4.0013,4.0287,4.0635,4.102,4.1413,4.1792,4.2144,4.2458,4.2729,4.2951,4.3125,4.3248,4.3323,4.3351,4.3333,4.3273,4.3173,4.3036,4.2865,4.2662,4.243,4.2173
2023-07-31,5.2752,4.8502,4.5092,4.2713,4.1203,4.033,3.9885,3.971,3.9697,3.9774,3.9897,4.0038,4.0184,4.0324,4.0456,4.0578,4.0689,4.079,4.0882,4.0965,4.1041,4.111,4.1174,4.1232,4.1286,4.1335,4.1381,4.1424,4.1464,4.1501
2023-06-30,5.3818,4.8475,4.4566,4.2213,4.0729,3.9759,3.9121,3.871,3.8459,3.8322,3.8269,3.8275,3.8324,3.8403,3.8503,3.8616,3.8738,3.8863,3.8991,3.9118,3.9242,3.9364,3.9482,3.9595,3.9703,3.9807,3.9906,4.0,4.009,4.0176
2023-05-31,5.0305,4.396,4.0294,3.8219,3.7103,3.657,3.6394,3.6436,3.6607,3.6854,3.7138,3.7439,3.7739,3.8028,3.8302,3.8554,3.8783,3.8987,3.9167,3.9321,3.9451,3.9557,3.9641,3.9702,3.9743,3.9765,3.9768,3.9753,3.9723,3.9678
2023-04-30,4.6687,4.076,3.7502,3.575,3.4855,3.4452,3.4334,3.4382,3.4527,3.4729,3.4962,3.521,3.5465,3.5719,3.5969,3.6212,3.6447,3.6672,3.6886,3.709,3.7284,3.7467,3.7641,3.7805,3.796,3.8106,3.8244,3.8375,3.8498,3.8614
2023-03-31,4.5352,4.0792,3.8177,3.6663,3.5796,3.5325,3.5105,3.5047,3.5097,3.5217,3.5385,3.5581,3.5795,3.6016,3.6241,3.6462,3.6679,3.6889,3.709,3.7282,3.7465,3.7638,3.7802,3.7957,3.8103,3.824,3.837,3.8492,3.8607,3.8716
2023-02-28,5.1137,4.7729,4.4427,4.2428,4.1261,4.0564,4.0139,3.988,3.9728,3.9645,3.961,3.9607,3.9627,3.9661,3.9706,3.9757,3.9812,3.9869,3.9926,3.9982,4.0036,4.0088,4.0137,4.0183,4.0226,4.0266,4.0302,4.0334,4.0363,4.0389
2023-01-31,4.6559,4.2041,3.904,3.7098,3.5895,3.5206,3.4871,3.4778,3.4845,3.5016,3.5249,3.5516,3.5795,3.6072,3.6338,3.6584,3.6806,3.7002,3.7169,3.7308,3.7418,3.7499,3.7553,3.758,3.7582,3.7559,3.7514,3.7448,3.7361,3.7257
2022-12-31,4.7029,4.4321,4.2295,4.0825,3.9802,3.9137,3.8754,3.8589,3.8588,3.8708,3.8912,3.917,3.9458,3.9758,4.0052,4.033,4.0583,4.0803,4.0986,4.1128,4.1228,4.1284,4.1298,4.1269,4.12,4.1091,4.0945,4.0763,4.0549,4.0305
2022-11-30,4.6594,4.3488,4.1147,3.9431,3.8221,3.7418,3.6937,3.6709,3.6674,3.6784,3.6997,3.728,3.7606,3.7953,3.8304,3.8644,3.8964,3.9254,3.9509,3.9726,3.99,4.0031,4.0118,4.0162,4.0164,4.0125,4.0046,3.993,3.9779,3.9596
2022-10-31,4.621,4.5303,4.4006,4.3052,4.2426,4.2047,4.1846,4.1773,4.1793,4.1877,4.2007,4.2167,4.2345,4.2534,4.2728,4.2922,4.3113,4.3299,4.3479,4.3651,4.3816,4.3972,4.412,4.4261,4.4394,4.4519,4.4637,4.4749,4.4855,4.4954
2022-09-30,4.2148,4.2861,4.2307,4.1396,4.0521,3.9823,3.9327,3.9011,3.8836,3.8767,3.877,3.8822,3.8904,3.9002,3.911,3.9219,3.9327,3.943,3.9529,3.9622,3.9708,3.9789,3.9865,3.9935,4.0,4.006,4.0117,4.0169,4.0218,4.0264
2022-08-31,3.3947,3.4615,3.4367,3.3778,3.3149,3.262,3.2242,3.2022,3.1942,3.1975,3.2096,3.228,3.2505,3.2757,3.3022,3.329,3.3556,3.3815,3.4063,3.43,3.4524,3.4735,3.4932,3.5118,3.5291,3.5454,3.5606,3.5748,3.5882,3.6007
