Row Labels,Average of SVENY01,Average of SVENY02,Average of SVENY05,Average of SVENY10
<1/06/1987,,,,
(blank),,,,
1987,7.220480256,7.734836085,8.464278489,8.975800601
Jun,6.992518182,7.456404545,8.039968182,8.502472727
Jul,6.777509091,7.273113636,8.020018182,8.566890909
Aug,6.999680952,7.53497619,8.295666667,8.823285714
Sep,7.676619048,8.203247619,8.903314286,9.450333333
Oct,7.760138095,8.326980952,9.087128571,9.51547619
Nov,7.077289474,7.628794737,8.436363158,8.911536842
Dec,7.275308084,7.744997302,8.504287106,9.091013136
1988,7.6596754,7.95690125,8.389449445,8.938966851
Jan,7.094926358,7.508393094,8.164412606,8.835084445
Feb,6.697503056,7.066433272,7.679265625,8.445427875
Mar,6.759164129,7.161095868,7.824058738,8.605026888
Apr,7.01809688,7.469494113,8.156652567,8.926465421
May,7.394765897,7.864384168,8.500180693,9.231777268
Jun,7.53737792,7.902698618,8.415480773,8.984067014
Jul,7.773492037,8.119053723,8.555343885,9.164677884
Aug,8.16498524,8.461397909,8.79767318,9.301538346
Sep,8.108950874,8.311384092,8.582290609,8.994643689
Oct,8.059376798,8.195580645,8.406165216,8.829505437
Nov,8.39211949,8.488803726,8.637722059,8.924177445
Dec,8.887984858,8.900508296,8.922058398,8.991176773
1989,8.508801626,8.419186736,8.39281501,8.410583494
Jan,8.963052174,8.982658896,8.9734465,8.95515149
Feb,9.164341965,9.163902872,9.079781985,9.014213648
Mar,9.560399247,9.507892232,9.322473749,9.142148286
Apr,9.348122962,9.28268143,9.134861552,8.998083183
May,8.948498636,8.855490929,8.770415822,8.757299932
Jun,8.434393201,8.262928308,8.209853715,8.234094652
Jul,7.882324691,7.70688018,7.782011891,8.001092514
Aug,8.140113809,8.008515291,7.979793949,8.057124359
Sep,8.195856601,8.095573297,8.096829188,8.142494846
Oct,7.984484031,7.863948568,7.921792977,8.008098375
Nov,7.751170311,7.669010968,7.752731757,7.856167667
Dec,7.743350901,7.657989955,7.729213983,7.801899158
1990,7.871954962,8.030509239,8.304352304,8.529418165
Jan,7.927985952,7.955492588,8.078767362,8.164665122
Feb,8.091127777,8.207071686,8.356072615,8.414400607
Mar,8.285514701,8.426702523,8.522486997,8.507419758
Apr,8.335718413,8.545913577,8.670826012,8.686672082
May,8.269845742,8.454301874,8.622663009,8.678405783
Jun,8.026372159,8.181698318,8.351145196,8.433339323
Jul,7.895724508,8.028085564,8.262330217,8.448348985
Aug,7.762731881,7.952049549,8.366730559,8.753469253
Sep,7.785747914,7.985314564,8.466339068,8.940662283
Oct,7.603112331,7.797346897,8.268184167,8.749444144
Nov,7.335284915,7.514132278,7.953596246,8.416380953
Dec,7.10135333,7.273969001,7.695427797,8.133406886
1991,5.964191973,6.459438037,7.377931227,8.064040518
Jan,6.77679788,7.076354918,7.683513786,8.210087149
Feb,6.421528987,6.776918681,7.451614835,7.994452017
Mar,6.53084476,7.003141708,7.76249632,8.226735598
Apr,6.353948008,6.871258125,7.668187293,8.181683161
May,6.198022773,6.760727731,7.659209826,8.26104866
Jun,6.421051722,7.008214994,7.883302966,8.440390319
Jul,6.324688157,6.915865098,7.865456943,8.391565811
Aug,5.869155803,6.381731278,7.398333299,8.114721904
Sep,5.661526508,6.151935388,7.148732651,7.881275585
Oct,5.407573173,5.88420772,6.904840139,7.759360586
Nov,5.035816233,5.557301495,6.723392217,7.752613873
Dec,4.516479328,5.055305794,6.310835642,7.502236892
1992,4.041036713,4.788323281,6.298479394,7.416535807
Jan,4.323627022,4.989536953,6.397480711,7.475896183
Feb,4.451847706,5.226973893,6.727741409,7.697002877
Mar,4.833624946,5.676072052,7.063681653,7.76165121
Apr,4.468063913,5.335482708,6.893743087,7.762247187
May,4.315749066,5.176163772,6.756718923,7.687730421
Jun,4.280720413,5.036966778,6.536145402,7.596401017
Jul,3.714122289,4.386321455,5.923806953,7.334536791
Aug,3.581680985,4.227899938,5.716992984,7.106416763
Sep,3.311577253,3.947465589,5.472046867,7.012743788
Oct,3.460908209,4.146898057,5.71363403,7.132217434
Nov,3.837941558,4.622076064,6.196611836,7.263862807
Dec,3.89825443,4.687898666,6.19652633,7.145942995
1993,3.512927,4.027034138,5.189753011,6.202044045
Jan,3.653276592,4.382663792,5.940256696,7.011275936
Feb,3.489322835,4.09332252,5.514422828,6.682424618
Mar,3.420916874,3.942521299,5.290686899,6.447566423
Apr,3.31781484,3.838596393,5.217092621,6.430863898
May,3.411232783,3.944437594,5.246158586,6.431537932
Jun,3.625050038,4.143362219,5.236211679,6.249288251
Jul,3.56608658,4.059220982,5.10903455,6.065484075
Aug,3.511126438,3.987100165,5.058340336,5.973754766
Sep,3.416898038,3.829518492,4.754980385,5.654529489
Oct,3.444231261,3.840920612,4.728257073,5.60535553
Nov,3.629997818,4.1172252,5.10905436,5.979123514
Dec,3.659045161,4.163346252,5.157864269,6.003766098
1994,5.310584316,5.884924938,6.648682393,7.200364448
Jan,3.585670689,4.094475301,5.099571256,5.97061535
Feb,3.912882273,4.432898903,5.401978254,6.200584057
Mar,4.399265151,4.988476123,5.964176227,6.700349482
Apr,4.840302147,5.544401826,6.509674884,7.151301355
May,5.286724709,5.926666754,6.739861515,7.298054877
Jun,5.235129312,5.867187458,6.645556567,7.213673961
Jul,5.449850933,6.058199904,6.846904685,7.411402841
Aug,5.520393826,6.102891898,6.817138953,7.329268638
Sep,5.700228635,6.285732439,7.020691933,7.556868228
Oct,6.050913783,6.641935465,7.329767697,7.792343884
Nov,6.469107174,7.051482327,7.6262507,7.944721146
Dec,7.143704762,7.49312381,7.6827,7.764814286
1995,5.915632554,6.075182915,6.323627113,6.632732781
Jan,7.01295,7.408095,7.6677,7.76524
Feb,6.624866667,7.00565,7.276161111,7.4659
Mar,6.392188715,6.672591435,6.965039648,7.255201143
Apr,6.22160557,6.462920173,6.775003972,7.1188459
May,5.948703848,6.085390951,6.342018581,6.682366348
Jun,5.628949069,5.665358397,5.887973848,6.267509519
Jul,5.634883546,5.735033316,5.98790935,6.377369632
Aug,5.741557919,5.911561321,6.21687223,6.580788169
Sep,5.624281633,5.737934554,5.96867654,6.306966291
Oct,5.582151815,5.650721957,5.818036967,6.110824649
Nov,5.418760932,5.445640193,5.666571201,6.002353975
Dec,5.288247415,5.291195474,5.481114612,5.801768292
1996,5.524723017,5.784206727,6.139070606,6.51030557
Jan,5.064963046,5.081983144,5.351857222,5.763045161
Feb,4.920269473,4.987063058,5.381371241,5.942092805
Mar,5.370957358,5.603264092,5.962323808,6.405530197
Apr,5.565533559,5.893462043,6.264676039,6.649574341
May,5.652608653,6.023400347,6.439446605,6.817793365
Jun,5.824010807,6.23344981,6.627293814,6.948157326
Jul,5.860400135,6.213269962,6.561591739,6.869357464
Aug,5.640572312,5.961752425,6.317810107,6.641782202
Sep,5.830352926,6.162898621,6.535849955,6.87127253
Oct,5.580704787,5.84731279,6.225837802,6.577596321
Nov,5.450305973,5.633326284,5.92925296,6.252404792
Dec,5.502248372,5.716365392,6.01307875,6.329903446
1997,5.702144688,5.92237143,6.166067919,6.407322976
Jan,5.64781383,5.930034809,6.280684067,6.58692715
Feb,5.55064407,5.811577197,6.145572094,6.448303457
Mar,5.82346149,6.13241027,6.475763222,6.741185643
Apr,6.011935048,6.364530406,6.68260948,6.922367591
May,5.874957697,6.189796463,6.487594046,6.738090753
Jun,5.735479639,6.018721287,6.295898945,6.547000765
Jul,5.624630967,5.817275669,6.047081228,6.275628019
Aug,5.681632121,5.871195392,6.121957857,6.379295096
Sep,5.634052694,5.824641431,6.043012118,6.306623076
Oct,5.583343091,5.725572025,5.891490394,6.134130803
Nov,5.59691869,5.677123129,5.77381452,5.942269251
Dec,5.628091455,5.670053614,5.718573475,5.842997486
1998,5.147121319,5.138745973,5.17646151,5.418269583
Jan,5.335761987,5.32261138,5.393916853,5.625618387
Feb,5.389276582,5.383478168,5.454587798,5.693057288
Mar,5.4763797,5.514735282,5.581911918,5.757482798
Apr,5.467409223,5.526437428,5.56956421,5.74812133
May,5.497660007,5.55440939,5.597572807,5.770689111
Jun,5.475951754,5.485460932,5.494229634,5.606222318
Jul,5.397423835,5.434872453,5.440038861,5.555810404
Aug,5.256088931,5.266663935,5.275443852,5.417661016
Sep,4.851966418,4.732441993,4.686492403,4.998658285
Oct,4.328093702,4.249127972,4.333274133,4.847844126
Nov,4.655839281,4.623691108,4.704222114,5.074754609
Dec,4.617515838,4.553193326,4.579634566,4.934795386
1999,5.228091428,5.404025915,5.595730414,5.963303023
Jan,4.644622202,4.648417424,4.68360914,5.074780739
Feb,4.805626552,4.885266145,4.985000021,5.337962498
Mar,4.903232249,5.045373516,5.217487349,5.576027532
Apr,4.808044641,4.951679075,5.102361303,5.496256798
May,4.994379495,5.211100418,5.466679739,5.813206348
Jun,5.282749062,5.574871223,5.863865503,6.156320486
Jul,5.247086576,5.490967127,5.73655487,6.082001776
Aug,5.399227444,5.638615667,5.914192012,6.263761401
Sep,5.431649721,5.622122569,5.857971867,6.297147367
Oct,5.585341931,5.817666589,6.069414686,6.494520807
Nov,5.64762699,5.809232133,5.961466374,6.310267314
Dec,5.89660074,6.044864471,6.167104027,6.538049368
2000,6.263092753,6.204333708,6.098956042,6.159274577
Jan,6.146298091,6.360053867,6.524823009,6.767735984
Feb,6.297824474,6.519819838,6.605611416,6.596823257
Mar,6.318598577,6.445391558,6.420187098,6.395448655
Apr,6.277444796,6.306556236,6.180497663,6.157953294
May,6.692184593,6.724613658,6.603661558,6.547722433
Jun,6.477692173,6.441170508,6.252764802,6.220471901
Jul,6.368311688,6.301131698,6.143101952,6.135220026
Aug,6.331840745,6.188246181,5.983172192,5.95592062
Sep,6.200956319,6.013256155,5.860121931,5.985937868
Oct,6.171499139,5.882962962,5.709725986,5.888724697
Nov,6.137963858,5.844181438,5.674165124,5.826641214
Dec,5.665045117,5.354350456,5.177749399,5.412900542
2001,3.546712424,3.867160801,4.629828148,5.341879951
Jan,4.961435891,4.804071649,4.966580376,5.37962533
Feb,4.756465787,4.689876189,4.934563773,5.350810813
Mar,4.383390373,4.365497939,4.694836528,5.195505354
Apr,4.089875849,4.244511148,4.787231685,5.440801436
May,3.940083179,4.298516126,5.00038105,5.646620795
Jun,3.752456725,4.147893009,4.902354404,5.559621993
Jul,3.678227642,4.075603537,4.840163333,5.496734588
Aug,3.437116119,3.789598546,4.594595141,5.302608617
Sep,2.793841176,3.171276471,4.187294118,5.154558824
Oct,2.295304545,2.779627273,3.950572727,4.973677273
Nov,2.173005,2.82031,4.07775,5.053865
Dec,2.17788,3.112015,4.559145,5.526835
2002,1.9597648,2.6185956,3.9091268,5.0244064
Jan,2.102952381,3.024219048,4.487333333,5.445509524
Feb,2.178826316,3.007415789,4.391673684,5.356021053
Mar,2.59315,3.510295,4.8282,5.706505
Apr,2.455736364,3.386363636,4.720622727,5.595672727
May,2.339222727,3.235268182,4.566745455,5.517059091
Jun,2.1567,2.96218,4.264285,5.28404
Jul,1.843704545,2.514122727,3.890168182,5.044145455
Aug,1.673886364,2.112231818,3.395777273,4.686963636
Sep,1.69035,1.973345,3.034065,4.299335
Oct,1.621713636,1.918204545,3.042377273,4.403486364
Nov,1.471710526,1.936521053,3.156705263,4.475078947
Dec,1.383866667,1.839661905,3.121538095,4.46267619
2003,1.2083572,1.6566796,2.9944924,4.355622
Jan,1.30927619,1.753280952,3.097590476,4.457514286
Feb,1.246131579,1.635921053,2.947536842,4.287052632
Mar,1.216861905,1.589128571,2.83842381,4.184290476
Apr,1.229733333,1.644238095,2.97502381,4.314042857
May,1.143128571,1.407195238,2.549114286,3.877614286
Jun,0.997004762,1.225685714,2.288904762,3.63467619
Jul,1.093186364,1.501804545,2.876368182,4.296086364
Aug,1.276709524,1.883371429,3.395771429,4.822285714
Sep,1.176847619,1.6993,3.196890476,4.618242857
Oct,1.216495455,1.752086364,3.205695455,4.616040909
Nov,1.321316667,1.920911111,3.300488889,4.607166667
Dec,1.294331818,1.894509091,3.283163636,4.562440909
2004,1.8750416,2.3741848,3.4419964,4.528664
Jan,1.20561,1.74913,3.12774,4.43038
Feb,1.200563158,1.731305263,3.082752632,4.364510526
Mar,1.14323913,1.566995652,2.806426087,4.099969565
Apr,1.446642857,2.085985714,3.409509524,4.641642857
May,1.78709,2.552475,3.886605,5.01377
Jun,2.077619048,2.76962381,3.95567619,5.007795238
Jul,2.047838095,2.636495238,3.716395238,4.756819048
Aug,2.005154545,2.4902,3.502354545,4.545159091
Sep,2.118728571,2.497766667,3.363828571,4.364938095
Oct,2.21982,2.559315,3.36129,4.332665
Nov,2.518895,2.840635,3.523925,4.40411
Dec,2.700277273,3.00035,3.590109091,4.415177273
2005,3.6683896,3.838156,4.0115172,4.3809616
Jan,2.906875,3.20623,3.6949,4.36697
Feb,3.078778947,3.366973684,3.744178947,4.2784
Mar,3.362472727,3.7176,4.132954545,4.611222727
Apr,3.370285714,3.646604762,3.966561905,4.445790476
May,3.398638095,3.61882381,3.811961905,4.237038095
Jun,3.458109091,3.616513636,3.727068182,4.0758
Jul,3.71276,3.863415,3.94558,4.241525
Aug,3.896817391,4.027230435,4.077934783,4.323382609
Sep,3.864766667,3.925604762,3.975190476,4.275738095
Oct,4.194365,4.266225,4.294895,4.540715
Nov,4.37938,4.38986,4.413985,4.63858
Dec,4.368852381,4.383971429,4.343414286,4.548228571
