year,month,r1y_nz,r2y_gb,r5y_nz,r10y_nz,r1y_us,r2y_us,r5y_us,r10y_us,nzd,r3m_nz,r3m_us
1987,June,18.23,18.26,16.11,15.49,6.992518182,7.456404545,8.039968182,8.502472727,1.684926,19.22,5.668181818
1987,July,18.32,18.08,16.34,15.58,6.777509091,7.273113636,8.020018182,8.566890909,1.765223,18.46,5.692272727
1987,August,17.96,17.84,16.38,15.65,6.999680952,7.53497619,8.295666667,8.823285714,1.648807,18.10,6.036190476
1987,September,18.13,17.94,16.34,15.67,7.676619048,8.203247619,8.903314286,9.450333333,1.536104,19.09,6.398095238
1987,October,18.86,18.27,16.40,15.65,7.760138095,8.326980952,9.087128571,9.51547619,1.68635,19.77,6.133333333
1987,November,18.09,17.64,15.92,15.17,7.077289474,7.628794737,8.436363158,8.911536842,1.542024,18.21,5.694736842
1987,December,16.52,16.47,15.32,14.41,7.275308084,7.744997302,8.504287106,9.091013136,1.516991,16.81,5.767727273
1988,January,16.15,16.10,15.06,14.13,7.094926358,7.508393094,8.164412606,8.835084445,1.499253,16.97,5.813684211
1988,February,15.47,15.15,14.43,13.66,6.697503056,7.066433272,7.679265625,8.445427875,1.504215,16.76,5.6605
1988,March,14.31,13.89,13.42,13.05,6.759164129,7.161095868,7.824058738,8.605026888,1.526727,15.99,5.703043478
1988,April,14.48,13.76,13.18,12.95,7.01809688,7.469494113,8.156652567,8.926465421,1.485884,15.90,5.907
1988,May,15.10,14.22,13.11,12.78,7.394765897,7.864384168,8.500180693,9.231777268,1.442996,16.21,6.257142857
1988,June,15.44,14.67,13.09,12.81,7.53737792,7.902698618,8.415480773,8.984067014,1.485881,15.86,6.459545455
1988,July,14.70,14.11,12.91,12.69,7.773492037,8.119053723,8.555343885,9.164677884,1.508301,14.99,6.7285
1988,August,14.35,13.98,13.03,12.74,8.16498524,8.461397909,8.79767318,9.301538346,1.629983,14.50,7.062608696
1988,September,14.20,13.95,12.95,12.76,8.108950874,8.311384092,8.582290609,8.994643689,1.632655,14.42,7.23952381
1988,October,14.22,13.99,12.96,12.82,8.059376798,8.195580645,8.406165216,8.829505437,1.593619,14.26,7.3485
1988,November,14.34,14.27,13.33,13.20,8.39211949,8.488803726,8.637722059,8.924177445,1.526714,14.34,7.76
1988,December,14.72,14.71,13.98,13.80,8.887984858,8.900508296,8.922058398,8.991176773,1.587303,14.51,8.067142857
1989,January,13.96,13.97,13.54,13.38,8.963052174,8.982658896,8.9734465,8.95515149,1.64745,13.80,8.266
1989,February,13.28,13.26,13.11,13.10,9.164341965,9.163902872,9.079781985,9.014213648,1.615506,13.40,8.530526316
1989,March,13.32,13.32,13.19,13.23,9.560399247,9.507892232,9.322473749,9.142148286,1.627339,13.32,8.815454545
1989,April,13.28,13.28,13.17,13.30,9.348122962,9.28268143,9.134861552,8.998083183,1.62338,13.34,8.647
1989,May,13.31,13.30,13.11,13.22,8.948498636,8.855490929,8.770415822,8.757299932,1.705028,13.49,8.433181818
1989,June,13.38,13.35,13.11,13.10,8.434393201,8.262928308,8.209853715,8.234094652,1.743683,13.52,8.151363636
1989,July,13.41,13.32,13.02,12.95,7.882324691,7.70688018,7.782011891,8.001092514,1.710864,13.40,7.883
1989,August,12.96,12.73,12.13,12.23,8.140113809,8.008515291,7.979793949,8.057124359,1.694914,12.98,7.899565217
1989,September,13.20,12.74,12.08,12.23,8.195856601,8.095573297,8.096829188,8.142494846,1.690623,13.42,7.7505
1989,October,13.72,13.21,12.24,12.46,7.984484031,7.863948568,7.921792977,8.008098375,1.699231,13.85,7.63952381
1989,November,13.80,13.05,12.23,12.31,7.751170311,7.669010968,7.752731757,7.856167667,1.696356,13.88,7.687619048
1989,December,13.90,13.31,12.40,12.44,7.743350901,7.657989955,7.729213983,7.801899158,1.682094,14.07,7.626
1990,January,13.69,13.20,12.19,12.26,7.927985952,7.955492588,8.078767362,8.164665122,1.665833,13.90,7.642857143
1990,February,13.52,13.15,12.06,12.10,8.091127777,8.207071686,8.356072615,8.414400607,1.699241,13.83,7.741052632
1990,March,13.48,13.08,12.09,12.21,8.285514701,8.426702523,8.522486997,8.507419758,1.725621,13.69,7.898181818
1990,April,13.42,13.01,12.26,12.38,8.335718413,8.545913577,8.670826012,8.686672082,1.739126,13.59,7.773
1990,May,13.26,12.91,12.31,12.34,8.269845742,8.454301874,8.622663009,8.678405783,1.734613,13.48,7.743181818
1990,June,13.42,13.13,12.31,12.16,8.026372159,8.181698318,8.351145196,8.433339323,1.699239,13.82,7.725238095
1990,July,13.45,12.99,12.27,12.08,7.895724508,8.028085564,8.262330217,8.448348985,1.689766,13.74,7.62
1990,August,13.96,13.43,12.88,12.71,7.762731881,7.952049549,8.366730559,8.753469253,1.625221,14.49,7.446956522
1990,September,14.09,13.58,12.88,12.87,7.785747914,7.985314564,8.466339068,8.940662283,1.622061,14.63,7.355789474
1990,October,14.05,13.63,13.01,12.92,7.603112331,7.797346897,8.268184167,8.749444144,1.628663,14.53,7.165909091
1990,November,13.64,13.36,12.95,12.96,7.335284915,7.514132278,7.953596246,8.416380953,1.639348,13.98,7.062
1990,December,13.09,12.85,12.35,12.35,7.10135333,7.273969001,7.695427797,8.133406886,1.702127,13.03,6.7395
1991,January,12.33,12.31,12.16,12.14,6.77679788,7.076354918,7.683513786,8.210087149,1.670842,12.37,6.222857143
